run,t,KE,PE,E,dE_rel
dt500,1.00528,4.999816783219804e-07,-9.999816775988875e-07,-4.999999992769071e-07,1.4221081791349561e-09
dt500,1.13094,4.999773347190859e-07,-9.999773338245182e-07,-4.999999991054323e-07,1.76505784344285e-09
dt500,1.2566000000000002,4.999727261418377e-07,-9.999727250653397e-07,-4.99999998923502e-07,2.128918421878351e-09
dt500,1.38226,4.999679252767127e-07,-9.99967924010699e-07,-4.999999987339862e-07,2.5079499956742526e-09
dt500,1.5079200000000001,4.999630078386993e-07,-9.999630063785738e-07,-4.999999985398744e-07,2.896173571013979e-09
dt500,1.63358,4.999580513767726e-07,-9.99958049721001e-07,-4.999999983442283e-07,3.2874657349634446e-09
dt500,1.7592400000000001,4.999531340507161e-07,-9.999531322008489e-07,-4.999999981501327e-07,3.6756569112929377e-09
dt500,1.8849,4.999483333985995e-07,-9.999483313592477e-07,-4.999999979606482e-07,4.0546260164089775e-09
dt500,2.01056,4.999437251143477e-07,-9.999437228931085e-07,-4.999999977787608e-07,4.418400832758567e-09
dt500,2.1362200000000002,4.999393818546575e-07,-9.999393794619963e-07,-4.999999976073388e-07,4.761244829706288e-09
dt500,2.26188,4.999353720940478e-07,-9.999353695431313e-07,-4.999999974490835e-07,5.077755419356187e-09
dt500,2.38754,4.999317590460392e-07,-9.999317563525279e-07,-4.999999973064887e-07,5.362945059956472e-09
dt500,2.5132000000000003,4.999285996674211e-07,-9.999285968492222e-07,-4.999999971818011e-07,5.612320241721852e-09
dt500,2.63886,4.999259437612384e-07,-9.999259408382236e-07,-4.999999970769852e-07,5.821952002326393e-09
dt500,2.76452,4.999238331925644e-07,-9.999238301862575e-07,-4.999999969936931e-07,5.988536278001012e-09
dt500,2.89018,4.999223012293674e-07,-9.999222981626025e-07,-4.999999969332351e-07,6.109452137048606e-09
dt500,3.0158400000000003,4.999213720187849e-07,-9.9992136891535e-07,-4.999999968965651e-07,6.182792273030149e-09
dt500,3.1415,4.999210602070215e-07,-9.999210570912813e-07,-4.999999968842598e-07,6.207402815313215e-09
dt500,3.26716,4.999213707088143e-07,-9.999213676053277e-07,-4.999999968965134e-07,6.1828956110497165e-09
dt500,3.3928200000000004,4.999222986300738e-07,-9.999222955632069e-07,-4.999999969331331e-07,6.1096562719888994e-09
dt500,3.5184800000000003,4.999238293449187e-07,-9.999238263384595e-07,-4.999999969935408e-07,5.988840786345557e-09
dt500,3.64414,4.999259387258881e-07,-9.999259358026744e-07,-4.999999970767863e-07,5.822349896053375e-09
dt500,3.7698,4.999285935237372e-07,-9.999285907052954e-07,-4.999999971815582e-07,5.612806015117114e-09
dt500,3.8954600000000004,4.99931751890866e-07,-9.999317491970718e-07,-4.999999973062058e-07,5.3635108779652515e-09
dt500,4.02112,4.999353640401786e-07,-9.999353614889438e-07,-4.999999974487652e-07,5.078391964616064e-09
dt500,4.146780000000001,4.999393730290579e-07,-9.99939370636048e-07,-4.999999976069902e-07,4.761941937821896e-09
dt500,4.2724400000000005,4.999437156561552e-07,-9.99943713434543e-07,-4.999999977783878e-07,4.41914685702688e-09
dt500,4.3981,4.99948323456934e-07,-9.999483214171896e-07,-4.999999979602556e-07,4.055411215951101e-09
dt500,4.52376,4.999531237823271e-07,-9.999531219320544e-07,-4.999999981497272e-07,3.676467945339953e-09
dt500,4.64942,4.999580409435703e-07,-9.99958039287387e-07,-4.999999983438167e-07,3.2882890509881956e-09
dt500,4.77508,4.999629974052028e-07,-9.999629959446663e-07,-4.999999985394635e-07,2.8969954047310723e-09
